timestamp,match_time,robot_enabled,autonomous,voltage_battery,current_total,current_ch00,current_ch01,current_ch02,current_ch03,current_ch04,current_ch05,current_ch06,current_ch07,subsystem_drive,subsystem_shooter,subsystem_intake,subsystem_climber
0.00,15.00,False,True,12.58,2.1,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.0,idle,idle,idle,idle
0.02,14.98,True,True,12.51,18.3,4.1,3.9,4.0,4.2,0.5,0.5,1.1,0.0,auto,idle,idle,idle
0.04,14.96,True,True,12.49,19.7,4.3,4.1,4.2,4.4,0.5,0.5,1.7,0.0,auto,idle,intaking,idle
0.06,14.94,True,True,12.47,21.2,4.5,4.3,4.4,4.6,0.5,0.5,2.4,0.0,auto,idle,intaking,idle
0.08,14.92,True,True,12.44,22.8,4.8,4.6,4.7,4.9,0.5,0.5,2.8,0.0,auto,idle,intaking,idle
0.10,14.90,True,True,12.43,24.1,5.1,4.9,5.0,5.2,0.5,0.5,2.9,0.0,auto,idle,intaking,idle
0.12,14.88,True,True,12.40,38.6,5.2,5.0,5.1,5.3,8.2,8.8,1.0,0.0,auto,spinup,idle,idle
0.14,14.86,True,True,12.36,54.3,5.3,5.1,5.2,5.4,16.5,16.9,0.9,0.0,auto,spinup,idle,idle
0.16,14.84,True,True,12.31,61.7,5.4,5.2,5.3,5.5,19.8,19.6,1.0,0.0,auto,firing,idle,idle
0.18,14.82,True,True,12.28,63.2,5.5,5.3,5.4,5.6,20.1,20.4,0.9,0.0,auto,firing,idle,idle
0.20,14.80,True,True,12.25,62.8,5.4,5.2,5.3,5.5,20.0,20.5,0.9,0.0,auto,firing,idle,idle
0.22,14.78,True,True,12.27,41.5,5.2,5.0,5.1,5.3,12.5,12.5,0.9,0.0,auto,spinup,idle,idle
0.24,14.76,True,True,12.30,22.4,4.9,4.7,4.8,5.0,0.5,0.5,2.0,0.0,auto,idle,intaking,idle
0.26,14.74,True,True,12.33,19.1,4.5,4.3,4.4,4.6,0.5,0.5,2.8,0.0,auto,idle,intaking,idle
15.00,0.00,True,False,12.45,5.2,0.8,0.8,0.8,0.8,0.5,0.5,0.0,0.0,teleop,idle,idle,idle
15.02,149.98,True,False,12.43,28.4,6.2,5.8,6.1,6.3,0.5,0.5,2.5,0.0,teleop,idle,intaking,idle
15.04,149.96,True,False,12.39,47.1,6.5,6.2,6.4,6.6,9.5,9.9,2.0,0.0,teleop,spinup,intaking,idle
15.06,149.94,True,False,12.33,68.4,6.8,6.5,6.7,6.9,20.2,20.4,1.9,0.0,teleop,firing,idle,idle
15.08,149.92,True,False,12.27,72.1,7.1,6.8,7.0,7.2,20.8,21.2,2.0,0.0,teleop,firing,idle,idle
15.10,149.90,True,False,12.24,74.8,7.3,7.0,7.2,7.4,21.0,21.5,1.4,0.0,teleop,firing,idle,idle
15.12,149.88,True,False,12.20,77.3,7.6,7.3,7.5,7.7,21.2,21.5,1.5,0.0,teleop,firing,idle,idle
15.14,149.86,True,False,12.16,79.9,7.8,7.5,7.7,7.9,21.5,21.6,1.9,0.0,teleop,firing,idle,idle
15.16,149.84,True,False,12.12,82.4,8.0,7.7,7.9,8.1,21.8,21.9,2.0,0.0,teleop,firing,idle,idle
15.18,149.82,True,False,7.20,83.1,8.1,7.8,8.0,8.2,22.0,22.1,2.0,0.0,teleop,firing,idle,idle
15.20,149.80,True,False,6.91,84.2,8.2,7.9,8.1,8.3,22.1,22.2,2.0,0.0,teleop,firing,idle,idle
15.22,149.78,True,False,6.72,85.0,8.3,8.0,8.2,8.4,22.3,22.4,2.0,0.0,teleop,firing,idle,idle
15.24,149.76,True,False,6.65,85.3,8.3,8.0,8.2,8.4,22.3,22.5,2.1,0.0,teleop,firing,idle,idle
15.26,149.74,True,False,6.61,84.8,8.2,7.9,8.1,8.3,22.2,22.4,2.0,0.0,teleop,firing,idle,idle
15.28,149.72,True,False,7.85,52.3,7.0,6.7,6.9,7.1,10.5,10.2,2.0,0.0,teleop,spinup,idle,idle
15.30,149.70,True,False,11.80,24.3,5.8,5.5,5.7,5.9,0.5,0.5,1.4,0.0,teleop,idle,idle,idle
